Name,Country,Years active,Proven victims,Possible victims,Notes
Karl Denke,Germany,1900 to 1924,30,42,"Killed and cannibalized poor travelers and homeless vagrants. Kept a ledger recording his murders with at least 31 names in it (including Vincenz Olivier, his only surviving victim), thus confirming at least 30 victims. But due to the massive amount of human remains found in his apartment, his kill count is suspected by many to exceed 42 victims. Committed suicide by hanging himself in his holding cell before he could be tried."
Francisco das Chagas Rodrigues de Brito,Brazil,1989 to 2003,30,42,"Pedophile who sexually abused, murdered and mutilated children in Maranhão and Pará; sentenced to 217 years imprisonment."
Luis Gregorio Ramírez Maestre,Colombia,2010 to 2013,30,30,Killed motorists in various municipalities before his 2012 capture. Was sentenced to 34 years in prison.
David Thabo Simelane,Swaziland,2000 to 2001,28,45,"Sexually assaulted women he befriended in forests, stabbing or strangling them afterward; sentenced to death."
Zhang Jun,China,1993 to 2000,28,28,"Robbed 22 stores in several Chinese provinces, killing 28 people in the process. Executed in 2001."
Cedric Maake,South Africa,1996 to 1997,27,35,"Known as the ""Wemmer Pan Killer"" and ""Hammer Killer"". He killed his victims with different instruments such as guns, rocks, a knife, and a hammer. Authorities attributed the murders to two serial killers because of the inconsistent modus operandi. In some cases he killed his victims with a rock, in others he shot them, and in others he murdered tailors with a hammer. Maake was arrested after Moses Sithole was found guilty of 38 killings and sentenced to 1,340 years in prison."
Mariam Soulakiotis,Greece,1939 to 1951,27,27,"Known as ""The Woman Rasputin""; convent abbot believed to have murdered wealthy women and children who came into her church; the true number of her victims is a matter of debate. Her trial cites that she murdered 27 and killed an additional 150 children through neglect. Was sentenced to life and died in 1954."
Bruce George Peter Lee,United Kingdom,1973 to 1979,26,26,"Epileptic arsonist who killed people in the city of Hull; sentenced to life imprisonment, but was later institutionalized."
The Stoneman,India,1985 to 1989,25,25,"12 homeless people were murdered in their sleep in Bombay between 1985 and 1987, and 13 in Calcutta in 1989—in all cases, by dropping a large rock over their head (an additional victim escaped, but could not identify the attacker). No one was ever charged with any of the murders."
Juan Corona,United States,1971,25,25,Corona was convicted of murdering ranch laborers and burying them in orchards. He was sentenced to 25 terms life imprisonment. Died from natural causes in 2019.
Fritz Haarmann,Germany,1918 to 1924,24,27,"Also known as the Butcher of Hanover and the Vampire of Hanover, because of his preferred method of killing by biting through his victim's throat, sometimes while sodomizing them. He would then dump the bodies in the nearby river Leine. Believed to have been responsible for the murder of 27 boys and young men, he was convicted, found guilty of 24 murders and executed by guillotine in 1925."
Béla Kiss,Austria-Hungary,1912 to 1916,24,24,"Evaded arrest and conviction after the discovery of 24 bodies hidden in large metal drums on his property in 1916. At that time he was serving in the Austro-Hungarian Army, and deserted when the military was notified of the murders by civilian authorities. His final whereabouts and fate are unknown, as is his final victim count."
